item_id,item_type,item_sub_type,item_name,weight,max_durability,heal_amount,energy_amount,effect_amount,grade,price,max_stack,is_throwable,description
,0,100,낡은 삽,2,10,-1,-1,-1,-1,200,1,TRUE,
,0,100,평범한 삽,2,20,-1,-1,-1,-1,400,1,TRUE,
,0,100,예리한 삽,2,30,-1,-1,-1,-1,600,1,TRUE,
,0,100,튼튼한 삽,2,40,-1,-1,-1,-1,900,1,TRUE,
,0,101,낡은 도끼,2,30,-1,-1,-1,-1,300,1,TRUE,
,0,101,평범한 도끼,2,50,-1,-1,-1,-1,500,1,TRUE,
,0,101,예리한 도끼,2,80,-1,-1,-1,-1,800,1,TRUE,
,0,101,튼튼한 도끼,2,120,-1,-1,-1,-1,1200,1,TRUE,
,0,102,낡은 곡괭이,2,80,-1,-1,-1,-1,350,1,TRUE,
,0,102,평범한 곡괭이,2,100,-1,-1,-1,-1,600,1,TRUE,
,0,102,예리한 곡괭이,2,130,-1,-1,-1,-1,1000,1,TRUE,
,0,102,튼튼한 곡괭이,2,170,-1,-1,-1,-1,1500,1,TRUE,
,0,103,드릴,2,300,-1,-1,-1,-1,100000,1,TRUE,
,0,150,야구 방망이,2,-1,-1,-1,-1,-1,300,1,TRUE,
,0,151,뿅망치,2,-1,-1,-1,-1,-1,500,1,TRUE,
,0,152,줄넘기,2,-1,-1,-1,-1,-1,200,1,TRUE,
,0,153,마법 지팡이,2,-1,-1,-1,-1,-1,350,1,TRUE,
,0,154,비비탄 총,2,-1,-1,-1,-1,-1,400,1,TRUE,
,0,155,장난감 칼,2,-1,-1,-1,-1,-1,250,1,TRUE,
,1,201,싱싱한 고기,1,-1,0,30,0,-1,300,99,TRUE,
,1,201,냉동 만두,1,-1,0,50,0,-1,200,99,TRUE,
,1,201,브로콜리,1,-1,0,10,0,-1,180,99,TRUE,
,1,201,두리안,1,-1,0,30,0,-1,250,99,TRUE,
,1,201,바나나,1,-1,0,15,0,-1,120,99,TRUE,
,1,202,과자,1,-1,25,20,0,-1,100,99,TRUE,
,1,200,상한 귤,1,-1,5,0,0,-1,50,99,TRUE,
,1,200,싹난 감자,1,-1,10,0,0,-1,80,99,TRUE,
,1,200,곰팡이 식빵,1,-1,5,0,0,-1,30,99,TRUE,
,1,202,초콜릿,1,-1,20,10,0,-1,100,99,TRUE,
,1,202,눈알 사탕,1,-1,10,10,0,-1,100,99,TRUE,
,1,201,오렌지 주스,1,-1,0,50,0,-1,100,99,TRUE,
,1,202,추로스,1,-1,20,10,0,-1,220,99,TRUE,
,1,203,솜사탕,1,-1,10,15,30,-1,100,99,TRUE,
,1,203,아이스크림,1,-1,10,25,10,-1,200,99,TRUE,
,1,202,곰팡이 캐릭터 빵,1,-1,50,10,0,-1,200,99,TRUE,
,1,202,먹다 남은 나쵸,1,-1,25,10,0,-1,200,99,TRUE,
,1,203,젤리빈,1,-1,5,10,5,-1,200,99,TRUE,
,1,202,상한닭다리,1,-1,40,10,0,-1,200,99,TRUE,
,1,202,곰팡이 치즈,1,-1,20,5,0,-1,200,99,TRUE,
,1,202,상한 요거트,1,-1,15,5,0,-1,200,99,TRUE,
,1,202,남긴 핫초코,1,-1,0,20,0,-1,200,99,TRUE,
,1,203,남긴 케이크,1,-1,0,50,10,-1,200,99,TRUE,
,1,202,조금 남은 과자,1,-1,5,15,0,-1,200,99,TRUE,
,1,202,피자 박스,1,-1,30,30,0,-1,200,99,TRUE,
,1,202,상한 생선,1,-1,20,10,0,-1,200,99,TRUE,
,1,202,남긴 도시락,1,-1,25,30,0,-1,200,99,TRUE,
,2,302,풍선,1,-1,-1,-1,-1,-1,80,99,TRUE,
,2,301,부부젤라,1,-1,-1,-1,-1,-1,150,99,TRUE,
,2,301,양동이,1,-1,-1,-1,-1,-1,100,99,TRUE,
,2,303,바나나 껍질,1,-1,-1,-1,-1,-1,60,99,TRUE,
,2,300,구멍난 양말,1,-1,-1,-1,-1,-1,40,99,TRUE,
,2,300,끈적 슬라임,1,-1,-1,-1,-1,-1,90,99,TRUE,
,2,300,저금통,1,-1,-1,-1,-1,-1,200,99,TRUE,
,2,300,메모지,1,-1,-1,-1,-1,-1,30,99,TRUE,
,2,303,거미줄,1,-1,-1,-1,-1,-1,80,99,TRUE,
,2,303,덫,1,-1,-1,-1,-1,-1,150,99,TRUE,
1000,3,400,은,3,-1,-1,-1,-1,2,5000,1,TRUE,
1001,3,401,금,5,-1,-1,-1,-1,3,10000,1,TRUE,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
