,"장비(도구, 무기)",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
item_id,item_type,item_sub_type,item_name,weight,max_durability,heal_amount,energy_amount,effect_amount,duration,grade,price,max_stack,is_throwable,icon_path,description
1,0,100,낡은 삽,2,10,-1,-1,-1,-1,-1,200,1,TRUE,Equip_shovel,사용된 세월이 느껴지는 삽.
2,0,100,평범한 삽,2,20,-1,-1,-1,-1,-1,400,1,TRUE,,평범한 삽.
3,0,100,예리한 삽,2,30,-1,-1,-1,-1,-1,600,1,TRUE,,무엇이든 파낼 수 있을 것 같은 예리한 삽.
4,0,100,튼튼한 삽,2,40,-1,-1,-1,-1,-1,900,1,TRUE,,오래 쓸 수 있을 것 같은 튼튼한 삽.
5,0,100,낡은 도끼,2,30,-1,-1,-1,-1,-1,300,1,TRUE,Equip_ax,사용된 세월이 느껴지는 도끼.
6,0,100,평범한 도끼,2,50,-1,-1,-1,-1,-1,500,1,TRUE,,평범한 도끼.
7,0,100,예리한 도끼,2,80,-1,-1,-1,-1,-1,800,1,TRUE,,무엇이든 베어낼 수 있을 것 같은 예리한 도끼.
8,0,100,튼튼한 도끼,2,120,-1,-1,-1,-1,-1,1200,1,TRUE,,오래 쓸 수 있을 것 같은 튼튼한 도끼.
9,0,100,낡은 곡괭이,2,80,-1,-1,-1,-1,-1,350,1,TRUE,Equip_pick,사용된 세월이 느껴지는 곡괭이.
10,0,100,평범한 곡괭이,2,100,-1,-1,-1,-1,-1,600,1,TRUE,,평범한 곡괭이.
11,0,100,예리한 곡괭이,2,130,-1,-1,-1,-1,-1,1000,1,TRUE,,무엇이든 캐낼 수 있을 것 같은 예리한 곡괭이.
12,0,100,튼튼한 곡괭이,2,170,-1,-1,-1,-1,-1,1500,1,TRUE,,오래 쓸 수 있을 것 같은 튼튼한 곡괭이.
13,0,100,드릴,2,300,-1,-1,-1,-1,-1,100000,1,TRUE,,쓸모가 많은 전동 드릴.
14,0,150,야구 방망이,2,-1,-1,-1,-1,-1,-1,300,1,TRUE,Equip_bat,공 말고 다른 것도 쳐낼 수 있다.
15,0,150,뿅망치,2,-1,-1,-1,-1,-1,-1,500,1,TRUE,Equip_squeaky_hammer,**뿅뿅**
16,0,150,줄넘기,2,-1,-1,-1,-1,-1,-1,200,1,TRUE,,줄에 걸리면 꽤나 아프다.
17,0,150,마법 지팡이,2,-1,-1,-1,-1,-1,-1,350,1,TRUE,Equip_magicwand,마법을 쓸 수 있는 지팡이.
18,0,150,비비탄 총,2,-1,-1,-1,-1,-1,-1,400,1,TRUE,,살상 능력은 없는 장난감 총.
19,0,150,장난감 칼,2,-1,-1,-1,-1,-1,-1,250,1,TRUE,Equip_toysword,날카롭지 않아 안전하다.
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,소비,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
item_id,item_type,item_sub_type,item_name,weight,max_durability,heal_amount,energy_amount,effect_amount,duration,grade,price,max_stack,is_throwable,icon_path,description
